source,type,target,provider,account_id,tech_family
optym.data-engineering.myteksi.net.,A,ingress.prd-0001-eks.data-engineering.myteksi.net.,AWS,,
pa-visualiser.data-engineering.myteksi.net.,A,dualstack.pa-visualizer-976430871.ap-southeast-1.elb.amazonaws.com.,AWS,,
passport.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
presto-business-analytics-02.data-engineering.myteksi.net.,CNAME,presto-business-analytics-02-qubole.data-engineering.myteksi.net,AWS,,
presto-business-analytics.data-engineering.myteksi.net.,CNAME,presto-business-analytics-qubole.data-engineering.myteksi.net,AWS,,
presto-data-science.data-engineering.myteksi.net.,CNAME,presto-data-science-qubole.data-engineering.myteksi.net.,AWS,,
presto-crm.data-engineering.myteksi.net.,CNAME,presto-crm-qubole.data-engineering.myteksi.net,AWS,,
presto-econs.data-engineering.myteksi.net.,CNAME,presto-econs-qubole.data-engineering.myteksi.net,AWS,,
presto-holistics-dev.data-engineering.myteksi.net.,A,dualstack.presto-holistics-dev-236607348.ap-southeast-1.elb.amazonaws.com.,AWS,,
presto-holistics-finance.data-engineering.myteksi.net.,A,dualstack.presto-holistics-finance-579550557.ap-southeast-1.elb.amazonaws.com.,AWS,,
presto-holistics-crm.data-engineering.myteksi.net.,A,dualstack.presto-holistics-crm-45605273.ap-southeast-1.elb.amazonaws.com.,AWS,,
presto-datamart.data-engineering.myteksi.net.,CNAME,presto-datamart-qubole.data-engineering.myteksi.net,AWS,,
presto-holistics-payments.data-engineering.myteksi.net.,A,dualstack.presto-holistics-payments-1289605926.ap-southeast-1.elb.amazonaws.com.,AWS,,
presto-holistics-pa.data-engineering.myteksi.net.,A,dualstack.presto-holistics-pa-525054575.ap-southeast-1.elb.amazonaws.com.,AWS,,
presto-holistics-scheduled.data-engineering.myteksi.net.,A,dualstack.presto-holistics-scheduled-1637764887.ap-southeast-1.elb.amazonaws.com.,AWS,,
presto-id.data-engineering.myteksi.net.,CNAME,presto-id-qubole.data-engineering.myteksi.net,AWS,,
presto-holistics-marketing.data-engineering.myteksi.net.,A,dualstack.presto-holistics-marketing-1110034832.ap-southeast-1.elb.amazonaws.com.,AWS,,
presto-holistics-production.data-engineering.myteksi.net.,A,dualstack.holistics-qubole-02-1992415129.ap-southeast-1.elb.amazonaws.com.,AWS,,
presto-holistics.data-engineering.myteksi.net.,A,dualstack.presto-holistics-1840922802.ap-southeast-1.elb.amazonaws.com.,AWS,,
presto-product-analytics-01.data-engineering.myteksi.net.,CNAME,presto-product-analytics-01-qubole.data-engineering.myteksi.net,AWS,,
presto-product-analytics-03.data-engineering.myteksi.net.,CNAME,presto-product-analytics-03-qubole.data-engineering.myteksi.net,AWS,,
presto-k8s-monitor.data-engineering.myteksi.net.,A,dualstack.internal-a4be9c148a59611e999460634dcf7ad6-453174809.ap-southeast-1.elb.amazonaws.com.,AWS,,
presto-marketing-02.data-engineering.myteksi.net.,CNAME,presto-marketing-02-qubole.data-engineering.myteksi.net,AWS,,
presto-marketing.data-engineering.myteksi.net.,CNAME,presto-marketing-qubole.data-engineering.myteksi.net,AWS,,
