source,type,target,provider,account_id,tech_family
2kpw4bcpym35skdltqs45hmq5krckxh4._domainkey.grab-bat.net.,CNAME,2kpw4bcpym35skdltqs45hmq5krckxh4.dkim.amazonses.com,AWS,392368127043,
3bctxobqpovd3ojrj4tmewephzjkitno._domainkey.grab-bat.net.,CNAME,3bctxobqpovd3ojrj4tmewephzjkitno.dkim.amazonses.com,AWS,392368127043,
frvhnegk2sz4svg3grpsvmwmbfgfoxir._domainkey.grab-bat.net.,CNAME,frvhnegk2sz4svg3grpsvmwmbfgfoxir.dkim.amazonses.com,AWS,392368127043,
knddaintcq6ihtzkykl55nwh7rfl6tjn._domainkey.grab-bat.net.,CNAME,knddaintcq6ihtzkykl55nwh7rfl6tjn.dkim.amazonses.com,AWS,392368127043,
pshclxoljhajgcj3t3oedtxcroh2kkqh._domainkey.grab-bat.net.,CNAME,pshclxoljhajgcj3t3oedtxcroh2kkqh.dkim.amazonses.com,AWS,392368127043,
qpgpgsfbjqkt5aa2jnjsmy7aqi2zhpus._domainkey.grab-bat.net.,CNAME,qpgpgsfbjqkt5aa2jnjsmy7aqi2zhpus.dkim.amazonses.com,AWS,392368127043,
api-staging.grab-bat.net.,A,d-rcmomg6qxa.execute-api.ap-southeast-1.amazonaws.com.,AWS,392368127043,
bag-check-stg.grab-bat.net.,A,dualstack.sta-balancer-1971189655.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
bag-check.grab-bat.net.,A,dualstack.ops-websites-new-vpc-389406451.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
bastion.grab-bat.net.,A,10.198.233.4,AWS,392368127043,
bot-support.grab-bat.net.,A,dualstack.internal-bpa-api-1735893818.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
bpa-api.grab-bat.net.,A,dualstack.internal-bpa-api-1735893818.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
bpa-slack-command.grab-bat.net.,A,d-zsceirtndc.execute-api.ap-southeast-1.amazonaws.com.,AWS,392368127043,
cdn.grab-bat.net.,A,d3e1fhzoh07wi4.cloudfront.net.,AWS,392368127043,
consent-staging.grab-bat.net.,A,dualstack.internal-staging-bpa-749798175.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
consent.grab-bat.net.,A,dualstack.ops-websites-new-vpc-389406451.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
dev-batman.grab-bat.net.,A,dualstack.internal-staging-bpa-749798175.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
event.grab-bat.net.,A,d-erwobfo7se.execute-api.ap-southeast-1.amazonaws.com.,AWS,392368127043,
files.grab-bat.net.,A,dualstack.rampart-388438092.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
gammaplusplusmy.grab-bat.net.,A,d5s2ve67l0ptm.cloudfront.net.,AWS,392368127043,
gammaplusplusph.grab-bat.net.,A,d5s2ve67l0ptm.cloudfront.net.,AWS,392368127043,
gammaplusplusvn.grab-bat.net.,A,d5s2ve67l0ptm.cloudfront.net.,AWS,392368127043,
gpp-my.grab-bat.net.,A,d2k5p9fe54rsdb.cloudfront.net.,AWS,392368127043,
gpp-vn.grab-bat.net.,A,d2k5p9fe54rsdb.cloudfront.net.,AWS,392368127043,
hitchbeta.grab-bat.net.,A,dualstack.hitch-elb-823207260.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
hitchuat.grab-bat.net.,A,d5s2ve67l0ptm.cloudfront.net.,AWS,392368127043,
id-data.grab-bat.net.,A,dualstack.batman-1085492107.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
id-mex-promo-stg.grab-bat.net.,A,dualstack.sta-balancer-1971189655.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
id-tax.grab-bat.net.,A,dualstack.sta-balancer-1971189655.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
jenkins.grab-bat.net.,A,10.198.233.16,AWS,392368127043,
kh-data.grab-bat.net.,A,dualstack.batman-1085492107.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
local-micro.grab-bat.net.,A,172.31.88.89,AWS,392368127043,
mail-ap-southeast-1.grab-bat.net.,MX,10 feedback-smtp.ap-southeast-1.amazonses.com,AWS,392368127043,
mail-ap-southeast-1.grab-bat.net.,TXT,"""v=spf1 include:amazonses.com ~all""",AWS,392368127043,
mail.grab-bat.net.,MX,10 feedback-smtp.us-east-1.amazonses.com,AWS,392368127043,
mail.grab-bat.net.,TXT,"""v=spf1 include:amazonses.com ~all""",AWS,392368127043,
mex-deals-id.grab-bat.net.,A,dualstack.ops-websites-new-vpc-389406451.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
mex-deals-th.grab-bat.net.,A,dualstack.ops-websites-new-vpc-389406451.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
mex-dispute-staging.grab-bat.net.,A,d5s2ve67l0ptm.cloudfront.net.,AWS,392368127043,
mex-icd-id.grab-bat.net.,A,dualstack.ops-websites-new-vpc-389406451.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
mex-icd-ph.grab-bat.net.,A,dualstack.ops-websites-new-vpc-389406451.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
mex-icd-th.grab-bat.net.,A,dualstack.ops-websites-new-vpc-389406451.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
mfp-stg.grab-bat.net.,A,dualstack.sta-balancer-1971189655.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
mfp.grab-bat.net.,A,dualstack.ops-websites-new-vpc-389406451.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
mm-data.grab-bat.net.,A,dualstack.batman-1085492107.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
my-data.grab-bat.net.,A,dualstack.batman-1085492107.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
newtab-myteksi.grab-bat.net.,A,dualstack.sta-balancer-1971189655.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
newtab.grab-bat.net.,A,dualstack.ops-websites-new-vpc-389406451.ap-southeast-1.elb.amazonaws.com.,AWS,392368127043,
