ip,association_id,allocation_id
3.1.113.37,eipassoc-9bcd7a56,eipalloc-0514719bb33d8ccfd
3.1.170.186,eipassoc-071086fb,eipalloc-05bf87fbfc52a8d2f
52.74.186.92,eipassoc-1daf22d0,eipalloc-01533066eddfce9b2
52.76.155.197,eipassoc-2ec14cd2,eipalloc-03243da53e9c6ffe5
52.76.251.167,eipassoc-be3fd264,eipalloc-01829ccc62022b1f1
54.254.198.192,,eipalloc-002dfae5ef3fabade
13.250.234.85,eipassoc-f9339134,eipalloc-0e0280edc6d2177f9
13.251.140.226,eipassoc-0cdcfe2d9055babce,eipalloc-06fa55fe2542ee1ac
13.251.142.119,eipassoc-58309295,eipalloc-0bd1dd1588700dc03
3.0.1.97,eipassoc-0c6ba5bf69522c318,eipalloc-072750b19089fef5a
18.139.188.221,eipassoc-dbbb0a16,eipalloc-0e817d82dd2843849
18.139.237.178,eipassoc-0c8bc690cca442f39,eipalloc-040d470bf04b243fb
18.139.73.38,eipassoc-4432229f,eipalloc-01694b87264e3a18a
52.74.208.193,eipassoc-af30a053,eipalloc-02ec4a08f09a3193b
54.179.11.66,eipassoc-088b9ce1943aa9262,eipalloc-01555ad4f2608d3a5
54.179.196.79,eipassoc-0abd5383246d4f711,eipalloc-0ba4c039a93e08356
54.179.204.164,eipassoc-08b936b59e7ab14f4,eipalloc-02716bcfd5d6b1ae4
54.251.16.41,eipassoc-0d78dd472a59149ba,eipalloc-0b4379061ed67e3ec
54.251.192.115,eipassoc-002677de61886cab9,eipalloc-08ea76be0f3db4c6f
18.139.93.125,eipassoc-c2c4440f,eipalloc-0996d426647bef4e3
13.251.177.34,eipassoc-bb0ba676,eipalloc-09e974d123e5c89f9
13.228.68.56,eipassoc-053eb7247f80c395a,eipalloc-0e44c6fa14a228b44
13.251.195.203,eipassoc-752f8cb8,eipalloc-0db03a41a92733582
13.251.253.192,eipassoc-014c1dc5e7a74026e,eipalloc-0ac8dddb5891d0ea7
18.136.174.4,eipassoc-0b8807f7,eipalloc-0c8a02e34f85f6369
18.136.92.178,eipassoc-e0028e1c,eipalloc-00b3bdfb6a0324291
3.0.214.223,eipassoc-e457fb29,eipalloc-005bc106b26a47409
13.229.170.177,eipassoc-ca844ff7,eipalloc-a11f4d9b
13.250.168.40,eipassoc-0369c0cf0001de2f2,eipalloc-01e108ac8bd442f8a
3.0.171.148,eipassoc-0985b1b8c3d4140d1,eipalloc-080b1b7d7692eee89
3.0.243.73,eipassoc-027e2665b88bacf09,eipalloc-04a48bcbcf8e58caf
52.77.0.171,eipassoc-73151fb9,eipalloc-983c64a2
18.136.133.162,eipassoc-ebce4117,eipalloc-01b85a5479d1d8d74
13.251.149.153,eipassoc-5b4acb96,eipalloc-0c735d9c5245072e5
18.140.180.92,eipassoc-098eedf5,eipalloc-00499892401644090
18.140.218.125,eipassoc-f1a53b0d,eipalloc-04052e20fce547cad
3.1.172.57,,eipalloc-037ab07d86b033656
52.77.130.223,,eipalloc-091d7fe8a563f25b6
